timestamp,accX,accY,accZ,temperature,humidity
2080,-6728,5144,12236,27.6,92.4
2090,-6564,5064,12284,27.5,93.0
2100,-6764,4972,12276,27.3,93.5
2110,-6852,5104,12384,27.3,93.1
2120,-6776,5116,12296,27.2,92.9
2130,-6752,5156,12360,27.2,91.9
2140,-6772,5076,12464,27.1,91.6
2150,-6844,5132,12320,27.1,89.0
2160,-6756,5160,12256,27.0,88.0
2170,-7024,5440,12656,27.0,87.2
2180,-6796,5184,12276,27.1,86.6
2190,-6776,5136,12292,27.0,85.4
2200,-6424,5172,12392,27.0,83.6
2210,-6480,5388,12360,27.0,81.5
2220,-6728,5224,12208,27.0,80.6
2230,-6716,5200,12440,27.0,79.7
2240,-6748,5300,12148,26.9,78.9
2250,-6332,4556,13372,26.9,77.4
2260,-6660,5276,12200,26.9,76.7
2270,-7100,5748,12648,26.9,75.8
2280,-7688,4500,11776,26.9,74.2
2290,-6696,5148,12160,27.0,69.6
2300,-6456,5348,12716,27.5,61.3
2310,-6520,4972,12284,27.7,59.0
2320,-6572,5376,12200,27.8,58.7
2330,-6444,5352,12480,27.7,58.7
2340,-6496,5224,12324,27.8,58.3
2350,-6496,5356,12328,27.7,58.2
2360,-6540,5428,12288,27.8,57.9
2370,-6548,5236,12452,27.8,57.8
2380,-6564,5312,12456,27.8,57.7
2390,-6536,5284,12472,27.7,57.6
2400,-6604,5228,12416,27.7,57.5
2410,-6580,5260,12428,27.7,57.4
2420,-6380,5280,12428,27.6,57.2
2430,-6544,5304,12380,27.6,57.1
2440,-6484,5260,12368,27.6,56.9
2450,-6484,5360,12404,27.5,56.9
2460,-6388,5264,12604,27.5,56.8
2470,-6320,5124,12552,27.5,56.8
2480,-6476,5052,12440,27.5,56.9
2490,-6428,5240,12516,27.5,56.9
2500,-6420,5124,12460,27.5,56.9
2510,-6416,5004,12328,27.5,56.8
2520,-6360,5068,12488,27.5,56.7
2530,-6484,5072,12532,27.5,56.7
2540,-6464,5176,12436,27.5,56.7
2550,-6368,5132,12332,27.4,56.8
2560,-6432,5080,12548,27.4,56.7
2570,-6428,5072,12556,27.4,56.8
2580,-6476,5204,12412,27.4,56.8
2590,-6436,5060,12388,27.3,56.8
2600,-6472,5244,12572,27.3,56.8
2610,-6328,5096,12480,27.3,56.7
2620,-6500,5032,12572,27.4,56.7
2630,-6456,5056,12472,27.3,56.6
2640,-6408,5060,12504,27.3,56.5
2650,-6392,5000,12436,27.3,56.5
2660,-6468,5100,12596,27.2,56.5
2670,-6432,4992,12556,27.2,56.5
2680,-6312,5156,12436,27.2,56.5
2690,-6432,5024,12420,27.2,56.5
2700,-6412,5068,12408,27.2,56.5
2710,-6380,4980,12512,27.2,56.5
2720,-6332,5112,12532,27.1,56.5
2730,-6524,5076,12536,27.1,56.5
2740,-6564,5084,12508,27.1,56.6
2750,-6828,5860,12900,27.1,56.6
2760,-6384,5132,12416,27.1,56.7
2770,-6496,5108,12512,27.1,56.7
2780,-6464,5112,12696,27.1,56.7
2790,-6408,5052,12456,27.0,56.8
2800,-6388,5040,12508,27.0,56.8
2810,-6528,5036,12512,27.0,56.8
2820,-6448,5000,12624,27.0,56.8
2830,-6464,4964,12540,27.0,56.8
2840,-6420,5000,12528,27.0,56.8
2850,-6412,5040,12376,27.0,56.8
2860,-6432,4992,12604,27.0,56.8
2870,-6428,5088,12512,27.0,56.8
2880,-6380,5200,12492,27.0,56.9
2890,-6496,5044,12524,27.0,56.9
2900,-6380,5000,12456,27.0,56.9
2910,-6432,5040,12400,27.0,56.9
2920,-6440,5020,12584,27.0,56.9
2930,-6488,4972,12464,27.0,56.9
2940,-6424,5048,12440,27.0,56.9
2950,-6532,5044,12584,27.0,57.0
2960,-6316,4996,12412,26.9,57.1
2970,-6472,4852,12544,26.9,57.1
